M,n,Kappa,MSE_RMWA,MSE_QR,MSE_Tikhonov,MSE_TSVD
1,1,1.0,0.5403377500408292,0.5287209327184468,0.5287209676627472,0.5287209327184468
2,2,1.2962852829540308,0.19532564822522147,0.2130147455619474,0.2130148381136943,0.2130147455619474
3,4,1.6657692175733811,0.1000672821035884,0.12008402151401006,0.12008410878134222,0.12008402151401008
4,8,2.001768078819141,0.08492350942204066,0.09369192442433787,0.09369200450328423,0.09369192442433781
5,16,2.4166705987150654,0.08399102489784527,0.0867424357522011,0.08674251275834767,0.08674243575220106
6,32,2.8857863090215363,0.08412238783961855,0.08488839909488267,0.08488847455388175,0.08488839909488267
7,64,3.4544745268091357,0.08424355353060685,0.08442231767664307,0.0844223934963904,0.08442231767664309
8,128,4.392315364433423,0.08410560657686758,0.08412308135540074,0.08412315708836367,0.08412308135540081
9,256,5.362269553552572,0.08456296486160542,0.08427292233426398,0.08427299748153458,0.08427292233426405
